,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
74,92242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,3.75,0.0,0.3535533905932738
75,92250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7,1,3,0,0,0,0,0,0,0,0,4,1,1,1,1.75,3.9285714285714284,0.5,0.6074928962939559
76,92251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,12,3,6,0,0,0,1,0,1,0,0,1,4,3,2,1.6666666666666667,3.8333333333333335,0.5,1.1934162828797101
77,92268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,4.5,,
78,92270,35,2,23,8,2,0,0,0,0,0,6,12,12,5,0,2.2857142857142856,3.7285714285714286,0.6673665793703666,0.47500552849502736,72,10,35,13,3,0,2,0,3,5,12,18,23,8,1,2.1475409836065573,3.5069444444444446,0.7491342908933946,0.7804524489289041
79,92284,15,5,9,0,0,0,0,0,0,1,1,0,4,8,1,1.6428571428571428,4.166666666666667,0.49724515809884684,0.6454972243679028,60,30,24,1,0,0,1,1,4,4,13,14,12,10,1,1.4727272727272727,3.441666666666667,0.539359889970594,0.8391463916782738
80,92301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,2,1,0,0,0,1,0,2,0,0,1,0,2,0,1.3333333333333333,2.9166666666666665,0.5773502691896257,1.4634434279010127
81,92316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,28,20,4,0,0,0,0,0,4,2,7,3,9,1,2,1.1666666666666667,3.392857142857143,0.3806934938134404,0.864496672841774
82,92317,5,1,4,0,0,0,0,0,0,0,0,0,3,2,0,1.8,4.2,0.4472135954999579,0.2738612787525831,9,3,6,0,0,0,0,0,1,1,0,1,3,3,0,1.6666666666666667,3.7222222222222223,0.5,0.9052317076000179
83,92328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,1,1,2,0,0,0,0,1,2,1,0,1,0,0,2.25,2.8,0.9574271077563381,0.758287544405155
84,92333,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2.0,4.25,0.0,0.3535533905932738,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0,4.0,,
85,92342,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,3.5,,,7,1,5,0,0,0,0,0,0,0,0,2,3,1,1,1.8333333333333333,4.071428571428571,0.408248290463863,0.5345224838248488
